"id","country","region","arms_exports","arms_imports","broadband_subscriptions","telephone_subscriptions","gdp_constant_2010_usd","labor_force_total","military_expenditure_pct","population_female","population_male","population_total","unemployment","urban_population"
1,"Algeria","NorthernAfrica",0,549000000,3790460,4784310,191311000000,12231916,6.65999,21697235,22153808,43851043,12.83,32332690
2,"Argentina","SouthAmerica",0,7000000,9571560,7356160,394447000000,19191447,0.761487,23239321,22137442,45376763,11.67,41796990
3,"Australia","Oceania",396000000,1658000000,8937550,6200000,1446370000000,13452598,2.06304,12895213,12791828,25687041,6.61,22152761
4,"Austria","WesternEurope",9000000,13000000,2606000,3786720,419186000000,4572356,0.836614,4521483,4395722,8917205,5.77,5238680
5,"Bangladesh","SouthernAsia",0,46000000,9521970,1450320,214962000000,67225702,1.30186,81430275,83259108,164689383,5.3,62873466
6,"Belarus","EasternEurope",23000000,13000000,3255550,4406580,62765600000,4909766,1.25428,5022987,4375874,9398861,5.28,7470497
7,"Belgium","WesternEurope",53000000,86000000,4734210,3634640,512638000000,5114000,1.08084,5828325,5727672,11555997,6.01,11334006
8,"Brazil","SouthAmerica",170000000,158000000,36344700,30653800,2268470000000,99843130,1.43917,108123626,104435783,212559409,13.67,185081854
9,"Canada","NorthernAmerica",200000000,207000000,15776600,13926000,1847700000000,20457473,1.41506,19142488,18862750,38005238,9.48,30997832
10,"Chile","SouthAmerica",0,293000000,3751230,2567940,268586000000,8860151,1.85391,9690540,9425669,19116209,11.51,16770077
11,"China","EasternAsia",760000000,811000000,483550000,181908000,11785000000000,770950792,1.7498,682951049,719160951,1402112000,5,861289359
12,"Colombia","SouthAmerica",4000000,77000000,7764770,7248030,367804000000,24802460,3.37576,25898320,24984564,50882884,15.44,41431388
13,"Denmark","NorthernEurope",0,65000000,2571740,937469,372511000000,3022416,1.44227,2932556,2898848,5831404,5.66,5138400
14,"Ecuador","SouthAmerica",0,23000000,2346920,2063040,81657700000,8019239,2.41035,8819233,8823827,17643060,6.23,11320846
15,"Egypt","NorthernAfrica",0,1311000000,9349470,9858330,312970000000,29077255,1.22417,50631541,51702862,102334403,10.45,43781728
16,"Ethiopia","EasternAfrica",0,0,0,0,71633200000,52799277,0.481146,57446748,57516835,114963583,2.79,24941349
17,"France","WesternEurope",1995000000,145000000,30627000,37759000,2730750000000,30033626,2.07332,34777344,32614238,67391582,8.62,54570334
18,"Germany","WesternEurope",1232000000,33000000,36040700,38300000,3751240000000,43382544,1.39973,42093236,41147289,83240525,4.31,64472284
19,"Ghana","WesternAfrica",0,0,78371,307668,57430600000,12934257,0.446156,15322946,15749999,31072945,4.53,17820023
20,"Greece","SouthernEurope",17000000,85000000,4257030,4743310,231212000000,4751026,2.79556,5456162,5259387,10715549,16.85,8541900
21,"India","SouthernAsia",151000000,2799000000,22290000,20052200,2706600000000,471688990,2.88267,662903415,717100970,1380004385,7.11,481980332
22,"Indonesia","South-easternAsia",0,270000000,10713100,9186370,1179530000000,134616083,0.860574,135805760,137717861,273523621,4.11,154926514
23,"Iraq","WesternAsia",0,1000000,5453800,4166460,198178000000,10356947,4.05475,19864725,20357778,40222503,13.74,28514939
24,"Ireland","NorthernEurope",0,11000000,1516250,1678650,406056000000,2427093,0.287488,2515113,2479611,4994724,5.92,3179292
25,"Israel","WesternAsia",345000000,474000000,2602080,3080000,311692000000,4136200,5.62453,4629378,4587522,9216900,4.61,8533651
26,"Italy","SouthernEurope",806000000,131000000,17855600,19430600,1959440000000,25080671,1.56752,30558291,28995732,59554023,9.31,42306582
27,"Japan","EasternAsia",0,724000000,43633200,62252800,0,68680759,0.996825,64395674,61440347,125836021,2.97,115494817
28,"Kazakhstan","CentralAsia",0,268000000,2616500,3108400,207706000000,8778458,1.05485,9652308,9102132,18754440,6.05,10815873
29,"Kenya","EasternAfrica",0,60000000,674191,66646,64860100000,23738918,1.10484,27052773,26718527,53771300,2.98,15053275
30,"Malaysia","South-easternAsia",0,55000000,3358800,7467900,376654000000,15904215,1.13628,15735185,16630813,32365998,4.55,24973604
31,"Mexico","CentralAmerica",0,257000000,21206900,23800100,1201950000000,53978977,0.573652,65861267,63071486,128932753,4.71,104088701
32,"Morocco","NorthernAfrica",0,7000000,2102430,2357290,117286000000,11523035,4.28103,18593671,18316887,36910558,10.15,23450016
33,"Nepal","SouthernAsia",0,0,0,0,24262500000,16017418,1.36359,15788373,13348435,29136808,4.44,5995190
34,"Netherlands","WesternEurope",488000000,610000000,7525020,4937000,925799000000,9387604,1.42324,8751402,8689737,17441139,4.09,16087009
35,"Nigeria","WesternAfrica",0,125000000,65313,107031,468600000000,62242961,0.627908,101669950,104469637,206139587,9.01,107106007
36,"Norway","NorthernEurope",72000000,450000000,2387660,348808,488912000000,2836708,1.93662,2660602,2718873,5379475,4.62,4463566
37,"Pakistan","SouthernAsia",0,759000000,2423060,2876790,258078000000,72334842,4.02471,107220324,113672007,220892331,4.65,82094635
38,"Peru","SouthAmerica",0,19000000,0,0,187457000000,16181966,1.34006,16593240,16378606,32971846,6.24,25815966
39,"Philippines","South-easternAsia",0,349000000,0,0,326553000000,43719193,1.01242,54552260,55028825,109581085,3.36,51950201
40,"Poland","EasternEurope",13000000,193000000,8212600,5777430,643085000000,18204932,2.21735,19562432,18388370,37950802,3.55,22786800
41,"Portugal","SouthernEurope",46000000,47000000,4160900,5212510,234654000000,5190690,2.14056,5430030,4875534,10305564,7.2,6833619
42,"Romania","EasternEurope",0,187000000,5685000,3025000,224970000000,8967558,2.31371,9908658,9377465,19286123,4.84,10451921
43,"Saudi Arabia","WesternAsia",0,2466000000,7890260,5749060,675042000000,14455587,8.4476,14682559,20131308,34813867,8.22,29343564
44,"Singapore","South-easternAsia",0,74000000,1517600,1891600,320390000000,3472519,3.20153,2709673,2976134,5685807,5.19,5685807
45,"South Africa","SouthernAfrica",37000000,0,1303060,2098800,400229000000,21742744,1.07419,30092678,29216012,59308690,28.74,39946775
46,"Spain","SouthernEurope",1201000000,57000000,15850400,19455800,1401620000000,22799921,1.40205,24079931,23271636,47351567,15.67,38264801
47,"Sri Lanka","SouthernAsia",0,0,1992430,2428960,84293500000,8552779,1.9331,11409149,10509851,21919000,4.84,4101702
48,"Sweden","NorthernEurope",286000000,3000000,4101080,1624270,580499000000,5477192,1.2214,5167175,5186267,10353442,8.45,9108648
49,"Switzerland","WesternEurope",179000000,10000000,4023000,2952000,692095000000,4959300,0.778521,4352040,4284856,8636896,4.94,6383962
50,"Thailand","South-easternAsia",0,132000000,11599500,5003000,425391000000,38483357,1.47385,35833918,33966060,69799978,1.02,35898129
51,"Tunisia","NorthernAfrica",0,15000000,1334550,1533270,47084700000,4107933,2.90774,5957866,5860752,11818618,16.69,8221976
52,"Turkey","WesternAsia",141000000,86000000,16734900,12448600,1284110000000,32317036,2.77247,42702942,41636125,84339067,13.92,64186247
53,"Uganda","EasternAfrica",0,13000000,34596,90774,43828700000,16514595,2.59714,23194411,22546589,45741000,2.44,11414209
54,"Ukraine","EasternEurope",115000000,18000000,7769400,3314260,130073000000,19461889,4.1292,23685780,20448913,44134693,9.48,30721277
55,"United Arab Emirates","WesternAsia",191000000,432000000,3245120,2380870,0,6820222,0,3054051,6836349,9890400,5,8609395
56,"United States of America","NorthernAmerica",9372000000,687000000,120531000,103052000,17709400000000,165163504,3.74116,166449500,163034623,329484123,8.31,272364755
57,"Viet Nam","South-easternAsia",0,41000000,16699200,3205780,206694000000,56542377,0,48740329,48598254,97338583,2.27,36346227
