organization,category,count
A.F. Ioffe Physico-Technical Institute,Physics,1
Aarhus University,Chemistry,1
Aarhus University,Economics,1
Academy of Sciences,Economics,1
Academy of Sciences,Physics,2
All Souls College,Economics,1
Amsterdam University,Physics,2
Argonne National Laboratory,Physics,1
Arizona State University,Economics,2
Associated Universities Inc.,Physics,1
Atomic Energy Research Establishment,Physics,1
Australian National University,Medicine,1
Australian National University,Physics,1
Basel Institute for Immunology,Medicine,2
Basel University,Medicine,1
Bell Laboratories,Physics,4
Bell Telephone Laboratories,Physics,3
Berlin University,Chemistry,5
Berlin University,Physics,2
Berne University,Medicine,1
Biozentrum der Universität,Medicine,1
Birmingham University,Chemistry,1
Boston University Medical School,Chemistry,1
Brigham and Women's Hospital,Medicine,1
Bristol University,Physics,1
Brown University,Physics,2
Brussels University,Medicine,1
Bureau International des Poids et Mesures (International Bureau of Weights and Measures),Physics,1
CERN,Physics,4
Calcutta University,Physics,1
California Institute of Technology (Caltech),Chemistry,4
California Institute of Technology (Caltech),Medicine,5
California Institute of Technology (Caltech),Peace,1
California Institute of Technology (Caltech),Physics,7
Cardiff University,Medicine,1
Carnegie Institute of Technology,Physics,1
Carnegie Institution of Washington,Medicine,1
Carnegie Mellon University,Economics,2
Center for Study of Public Choice,Economics,1
"Central Research Laboratories, EMI",Medicine,1
China Academy of Traditional Chinese Medicine,Medicine,1
Chinese University of Hong Kong,Physics,1
City University of New York,Economics,1
Clare Hall Laboratory,Chemistry,1
Cold Spring Harbor Laboratory,Medicine,1
Collège de France,Chemistry,1
Collège de France,Physics,3
Cologne University,Chemistry,1
Columbia University,Chemistry,2
Columbia University,Economics,4
Columbia University,Medicine,3
Columbia University,Peace,1
Columbia University,Physics,6
"Columbia University Division, Cardio-Pulmonary Laboratory, Bellevue Hospital",Medicine,1
Copenhagen University,Medicine,2
Copenhagen University,Physics,1
Cornell University,Chemistry,3
Cornell University,Medicine,1
Cornell University,Physics,4
Department of Scientific and Industrial Research,Physics,1
"Digital Pathways, Inc.",Physics,1
Drew University,Medicine,1
Du Pont,Chemistry,1
Duke University Medical Center,Chemistry,1
Duke University School of Medicine,Chemistry,1
Edinburgh University,Physics,2
Eidgenössische Technische Hochschule (Swiss Federal Institute of Technology),Chemistry,4
"Enrico Fermi Institute, University of Chicago",Physics,1
Federal Reserve Bank of Minneapolis,Economics,1
Fermi National Accelerator Laboratory,Physics,1
Finsen Medical Light Institute,Medicine,1
Forschungszentrum J&uuml;lich,Physics,1
Francis Crick Institute,Chemistry,1
Frankfurt-on-the-Main University,Physics,1
Fred Hutchinson Cancer Research Center,Medicine,3
Fritz-Haber-Institut der Max-Planck-Gesellschaft,Chemistry,1
Fritz-Haber-Institut der Max-Planck-Gesellschaft,Physics,1
General Electric Company,Chemistry,1
General Electric Company,Physics,1
George Mason University,Economics,1
German Cancer Research Center,Chemistry,1
German Cancer Research Center,Medicine,1
Ghent University,Medicine,1
Gladstone Institutes,Medicine,1
Glynn Research Laboratories,Chemistry,1
Goettingen University,Chemistry,3
Goettingen University,Medicine,1
Goettingen University,Physics,1
Graz University,Chemistry,1
Graz University,Medicine,1
Greifswald University,Physics,1
Groningen University,Physics,1
Gurdon Institute,Medicine,1
Göteborg University,Medicine,1
Halle University,Physics,1
Harvard Business School,Economics,1
Harvard Medical School,Medicine,6
Harvard University,Chemistry,6
Harvard University,Economics,6
Harvard University,Medicine,6
Harvard University,Peace,1
Harvard University,Physics,8
"Harvard University, Biological Laboratories",Chemistry,1
"Harvard University, Lyman Laboratory",Physics,1
High Energy Accelerator Research Organization (KEK),Physics,1
Hokkaido University,Chemistry,1
Howard Hughes Medical Institute,Chemistry,1
I.G. Farbenindustrie A.G.,Chemistry,2
IBM Thomas J. Watson Research Center,Physics,1
IBM Zurich Research Laboratory,Physics,4
Imperial Cancer Research Fund,Medicine,2
Imperial Cancer Research Fund Laboratory,Medicine,1
Imperial College,Chemistry,2
Imperial College,Physics,2
Indiana University,Economics,1
Indiana University,Medicine,1
Innsbruck University,Physics,1
Institut Français du Pétrole,Chemistry,1
Institut Pasteur,Medicine,5
Institut du Radium,Chemistry,2
Institute for Advanced Study,Economics,1
Institute for Advanced Study,Physics,1
Institute for Biochemical Research,Chemistry,1
Institute for Chemical Physics of the Academy of Sciences of the USSR,Chemistry,1
Institute for Infectious Diseases,Medicine,1
Institute of Cell Biology of the C.N.R.,Medicine,1
Institute of Physical Chemistry,Chemistry,1
Institute of Technology,Chemistry,1
Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Medicine,1
International Centre for Theoretical Physics,Physics,1
Istituto Superiore di Sanità (Chief Institute of Public Health),Medicine,1
Jackson Laboratory,Medicine,1
"Janelia Research Campus, Howard Hughes Medical Institute",Chemistry,1
Johns Hopkins University,Physics,1
Johns Hopkins University School of Medicine,Chemistry,1
Johns Hopkins University School of Medicine,Medicine,3
Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Chemistry,1
Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Chemistry,1
Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Medizinische Forschung,Chemistry,1
Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biochemie,Chemistry,1
Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Biologie,Medicine,1
Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Chemistry,1
Kaiser-Wilhelm-Institut (now Max-Planck-Institut) für Physik,Physics,1
Karolinska Institutet,Medicine,4
"Karolinska Institutet, Nobel Medical Institute",Medicine,1
Kiel University,Chemistry,1
Kiel University,Medicine,1
Kiel University,Physics,1
Kitasato University,Medicine,1
"Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften, Forschungsstelle für Ethologie",Medicine,1
Kyoto Imperial University,Physics,1
Kyoto Sangyo University,Physics,1
Kyoto University,Chemistry,1
Kyoto University,Medicine,1
Königliches Institut für experimentelle Therapie (Royal Institute for Experimental Therapy),Medicine,1
"Laboratories of the Division of Medicine and Public Health, Rockefeller Foundation",Medicine,1
Laboratorium der Farben-Fabriken J.R. Geigy A.G. (Laboratory of the J.R. Geigy Dye-Factory Co.),Medicine,1
Landwirtschaftliche Hochschule (Agricultural College),Chemistry,1
Lawrence Berkeley National Laboratory,Physics,1
Leiden University,Medicine,1
Leiden University,Physics,2
Leipzig University,Chemistry,1
Leipzig University,Physics,1
Liverpool University,Physics,1
London School of Economics and Political Science,Economics,1
London University,Chemistry,1
London University,Medicine,3
London University,Physics,2
"London University, King's College Hospital Medical School",Medicine,1
Long Term Capital Management,Economics,1
Ludwig-Maximilians- Universität,Physics,1
MRC Laboratory of Molecular Biology,Chemistry,6
MRC Laboratory of Molecular Biology,Medicine,2
Madrid University,Medicine,1
Mainz University,Medicine,1
Marburg University,Medicine,1
Marconi Wireless Telegraph Co. Ltd.,Physics,1
Marine Biological Laboratory (MBL),Chemistry,1
Massachusetts General Hospital,Medicine,2
Massachusetts Institute of Technology (MIT),Chemistry,2
Massachusetts Institute of Technology (MIT),Economics,5
Massachusetts Institute of Technology (MIT),Medicine,4
Massachusetts Institute of Technology (MIT),Physics,7
"Massachusetts Institute of Technology (MIT), Center for Cancer Research",Medicine,1
Max Planck Institute for Biophysical Chemistry,Chemistry,1
Max-Planck-Institut für Biochemie,Chemistry,1
Max-Planck-Institut für Biophysik,Chemistry,1
Max-Planck-Institut für Biophysikalische Chemie,Medicine,1
Max-Planck-Institut für Chemie,Chemistry,1
Max-Planck-Institut für Entwicklungsbiologie,Medicine,1
Max-Planck-Institut für Festkörperforschung,Physics,1
Max-Planck-Institut für Kohlenforschung (Max-Planck-Institute for Carbon Research),Chemistry,1
Max-Planck-Institut für Physikalische Chemie,Chemistry,1
Max-Planck-Institut für Quantenoptik,Physics,1
Max-Planck-Institut für Zellchemie,Medicine,1
Max-Planck-Institut für medizinische Forschung,Medicine,1
Max-Planck-Institut für medizinische Forschung,Physics,1
Mayo Clinic,Medicine,2
McMaster University,Physics,1
Meijo University,Physics,1
Military Medical Academy,Medicine,1
Munich University,Chemistry,3
Munich University,Physics,1
Munster University,Medicine,1
NASA Goddard Space Flight Center,Physics,1
"NHMRC Helicobacter pylori Research Laboratory, QEII Medical Centre",Medicine,1
Nagoya University,Chemistry,1
Nagoya University,Physics,2
Nancy University,Chemistry,1
National Institute for Medical Research,Chemistry,1
National Institute for Medical Research,Medicine,1
National Institute of Environmental Health Sciences,Medicine,1
National Institute of Standards and Technology,Physics,3
National Institutes of Health,Chemistry,1
National Institutes of Health,Medicine,3
National Research Council of Canada,Chemistry,1
Neurological Institute,Medicine,1
New England Biolabs,Medicine,1
New York University,Economics,2
"New York University, College of Medicine",Medicine,1
Niels Bohr Institute,Physics,1
Nordita,Physics,1
Northwestern University,Chemistry,2
Northwestern University,Economics,1
Norwegian University of Science and Technology (NTNU),Medicine,2
P.N. Lebedev Physical Institute,Physics,6
Pavia University,Medicine,1
Peter Brent Brigham Hospital,Medicine,1
Polarographic Institute of the Czechoslovak Academy of Science,Chemistry,1
Polytechnic Institute,Medicine,1
Princeton University,Economics,6
Princeton University,Medicine,1
Princeton University,Physics,7
Purdue University,Chemistry,2
Queen's University,Physics,1
"Regulation of Retroviral Infections Unit, Virology Department, Institut Pasteur",Medicine,1
"Research Division of Infectious Diseases, Children's Medical Center",Medicine,2
Rheinische Friedrich-Wilhelms-Universität,Economics,1
Rice University,Chemistry,2
Rockefeller Institute for Medical Research,Chemistry,2
Rockefeller Institute for Medical Research,Medicine,4
Rockefeller University,Chemistry,4
Rockefeller University,Medicine,7
Rome University,Physics,1
Rowett Research Institute,Chemistry,1
Royal Institute of Technology,Physics,1
Royal Institution of Great Britain,Chemistry,1
Royal Institution of Great Britain,Physics,1
Rutgers University,Medicine,1
SUNY Health Science Center,Medicine,1
Saint Louis University,Medicine,1
"Semiconductor Laboratory of Beckman Instruments, Inc.",Physics,1
Sheffield University,Medicine,1
Shimadzu Corp.,Chemistry,1
Sorbonne University,Chemistry,2
Sorbonne University,Medicine,1
Sorbonne University,Peace,1
Sorbonne University,Physics,2
"Sorbonne University, Institut Henri Poincaré",Physics,1
Space Telescope Science Institute,Physics,1
St. Jude Children's Research Hospital,Medicine,1
"Staatliches Institut für makromolekulare Chemie (State Research Institute for Macromolecular Chemistry), Freiburg",Chemistry,1
Standard Telecommunication Laboratories,Physics,1
Stanford Linear Accelerator Center,Physics,1
Stanford University,Chemistry,5
Stanford University,Economics,2
Stanford University,Medicine,2
Stanford University,Physics,9
Stanford University School of Medicine,Chemistry,2
Stanford University School of Medicine,Medicine,1
Stockholm School of Economics,Economics,1
Stockholm University,Chemistry,3
Strasbourg University,Physics,1
Swedish Gas-Accumulator Co.,Physics,1
Szeged University,Medicine,1
Technical University,Chemistry,1
Technical University,Physics,1
Technion - Israel Institute of Technology,Chemistry,3
Technische Hochschule (Institute of Technology),Chemistry,1
Texas Instruments,Physics,1
The Institute for Cancer Research,Medicine,1
The Medical Foundation of Buffalo,Chemistry,1
The Molecular Sciences Institute,Medicine,1
The Netherlands School of Economics,Economics,1
The Salk Institute,Medicine,1
The Scripps Research Institute,Chemistry,2
The Scripps Research Institute,Medicine,1
The Wellcome Research Laboratories,Medicine,1
The Wellcome Trust Sanger Institute,Medicine,1
Tokyo Institute of Technology,Medicine,1
Tokyo University of Education,Physics,1
Toulouse School of Economics (TSE),Economics,1
Toulouse University,Chemistry,1
Trinity College,Economics,1
Trinity College,Physics,1
Tufts University,Medicine,1
US Naval Research Laboratory,Chemistry,1
Unit&eacute; Mixte de Physique CNRS/THALES,Physics,1
Universit&eacute; Paris-Sud,Physics,1
University College,Chemistry,1
University College,Medicine,5
University College,Physics,1
University of Bonn,Physics,1
University of British Columbia,Chemistry,1
University of California,Chemistry,13
University of California,Economics,8
University of California,Medicine,2
University of California,Physics,11
University of California School of Medicine,Medicine,4
"University of California, Kavli Institute for Theoretical Physics",Physics,1
University of Cambridge,Chemistry,3
University of Cambridge,Economics,3
University of Cambridge,Medicine,4
University of Cambridge,Physics,7
University of Chicago,Chemistry,1
University of Chicago,Economics,12
University of Chicago,Physics,4
"University of Chicago, Ben May Laboratory for Cancer Research",Medicine,1
University of Colorado,Chemistry,1
University of Colorado,Physics,1
"University of Colorado, JILA",Physics,3
University of Delaware,Chemistry,1
University of Edinburgh,Physics,1
University of Freiburg,Chemistry,1
University of Freiburg im Breisgau,Medicine,1
University of Grenoble,Physics,1
University of Groningen,Chemistry,1
University of Heidelberg,Chemistry,4
University of Heidelberg,Medicine,1
University of Heidelberg,Physics,2
University of Helsinki,Chemistry,1
University of Illinois,Medicine,1
University of Illinois,Physics,3
"University of Jerusalem, Center for RationalityHebrew",Economics,1
University of Lisbon,Medicine,1
University of Manchester,Physics,2
"University of Maryland, Department of Economics and School of Public Policy",Economics,1
University of Massachusetts Medical School,Medicine,1
University of Minnesota,Economics,1
University of Moscow,Physics,2
University of North Carolina,Chemistry,1
University of North Carolina,Medicine,1
"University of Nottingham, School of Physics and Astronomy",Medicine,1
University of Oslo,Chemistry,1
University of Oslo,Economics,2
University of Oxford,Chemistry,3
University of Oxford,Medicine,5
"University of Oxford, Royal Society",Chemistry,1
University of Pennsylvania,Chemistry,1
University of Pennsylvania,Economics,1
University of Pennsylvania,Physics,2
University of Rochester,Medicine,1
University of Southern California,Chemistry,2
University of Strasbourg,Chemistry,1
University of Strasbourg,Medicine,1
University of Sussex,Chemistry,2
University of Texas,Chemistry,1
University of Texas Medical School at Houston,Medicine,1
University of Texas Southwestern Medical Center at Dallas,Chemistry,1
University of Texas Southwestern Medical Center at Dallas,Medicine,4
University of Tokyo,Physics,2
University of Toronto,Chemistry,1
University of Toronto,Medicine,2
University of Tsukuba,Chemistry,1
University of Utah,Medicine,1
University of Washington,Medicine,2
University of Washington,Physics,2
University of Western Australia,Medicine,1
University of Wisconsin,Medicine,3
University of Zurich,Chemistry,2
University of Zurich,Medicine,1
"University of Zurich, Institute of Experimental Immunology",Medicine,1
Université Catholique de Louvain,Medicine,2
Université Libre de Bruxelles,Chemistry,1
Université Libre de Bruxelles,Physics,1
Université Louis Pasteur,Chemistry,1
"Université de Paris, Laboratoire Immuno-Hématologie",Medicine,1
Université de Strasbourg,Chemistry,1
Uppsala University,Chemistry,2
Uppsala University,Medicine,1
Uppsala University,Physics,2
Utrecht University,Medicine,1
Utrecht University,Physics,1
Vanderbilt University,Medicine,1
Vanderbilt University School of Medicine,Medicine,1
Veterans Administration Hospital,Medicine,2
Victoria University,Chemistry,1
Victoria University,Physics,2
Vienna University,Medicine,2
Virginia Commonwealth University,Chemistry,1
Walter and Eliza Hall Institute for Medical Research,Medicine,1
Washington University,Economics,1
Washington University,Medicine,3
Weizmann Institute of Science,Chemistry,1
Wellcome Research Laboratories,Medicine,2
Western Reserve University,Medicine,1
World Foundation for AIDS Research and Prevention,Medicine,1
Würzburg University,Physics,1
Yale University,Chemistry,3
Yale University,Economics,3
Yale University,Medicine,1
"Yale University, School of Medicine",Medicine,1
"Yukawa Institute for Theoretical Physics (YITP), Kyoto University",Physics,1
Zoologisches Institut der Universität München,Medicine,1
École Nationale Supérieur des Mines de Paris,Economics,1
École Normale Supérieure,Physics,3
École Polytechnique,Physics,1
École Supérieure de Physique et Chimie,Physics,1
École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Physics,1
